,表決ID,會議ID,該會議第幾個表決,表決內容,票數,結果
0,08-05-YS-11-020,08-05-YS-11,020,拾柒、民進黨黨團提議將委員李應元等擬具「金融監督管理委員會組織法第七條條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者7人，反對者59人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 59, ""agree"": 7}",Not Passed
1,08-05-YS-11-019,08-05-YS-11,019,拾陸、民進黨黨團提議將委員段宜康等17人、台灣團結聯盟黨團分別擬具「廢止中華民國紅十字會法」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者7人，反對者59人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 59, ""agree"": 7}",Not Passed
2,08-05-YS-11-018,08-05-YS-11,018,拾伍、民進黨黨團提議將委員林淑芬等25人擬具「勞動基準法第二十一條條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員65人，贊成者6人，反對者59人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 47, ""total"": 112, ""disagree"": 59, ""agree"": 6}",Not Passed
3,08-05-YS-11-017,08-05-YS-11,017,拾肆、民進黨黨團提議將委員林淑芬等21人擬具「勞動基準法刪除第八十四條之一條文草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
4,08-05-YS-11-016,08-05-YS-11,016,拾參、民進黨黨團提議將委員黃偉哲等19人擬具「性別工作平等法第二十條條文修正草案」案，自委員會抽出，逕付二讀，並與相關提案併案協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
5,08-05-YS-11-015,08-05-YS-11,015,拾貳、民進黨黨團提議將委員陳其邁等19人擬具「勞工保險條例第五十八條條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並交由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
6,08-05-YS-11-014,08-05-YS-11,014,拾壹、民進黨黨團提議將委員林佳龍等21人、委員趙天麟等19人、委員劉建國等17人分別擬具「空氣污染防制法第十二條條文修正草案」、委員劉建國等21人擬具「空氣污染防制法第十二條及第十四條條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
7,08-05-YS-11-013,08-05-YS-11,013,拾、民進黨黨團提議將委員魏明谷等24人擬具「油症受害者救濟法草案」、委員林淑芬等19人擬具「油症受害者救濟法草案」及委員劉建國等20人擬具「多氯聯苯受害者救濟法草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
8,08-05-YS-11-012,08-05-YS-11,012,玖、民進黨黨團提議將委員陳其邁等21人擬具「全民健康保險法第二十七條條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員66人，贊成者6人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 46, ""total"": 112, ""disagree"": 60, ""agree"": 6}",Not Passed
9,08-05-YS-11-011,08-05-YS-11,011,捌、民進黨黨團提議將委員陳其邁等17人擬具「勞工保險條例第七十六條及第七十六條之二條文修正草案」案，自委員會抽出，逕付二讀，列為本次會議討論事項第3案，並由民進黨黨團負責召集協商。經表決結果不予通過。【在場委員68人，贊成者8人，反對者60人，少數不通過；並採記名表決方式，表決結果名單附後,"{""abstain"": 0, ""not_voting"": 44, ""total"": 112, ""disagree"": 60, ""agree"": 8}",Not Passed
