name,constituency,party,in_individual,in_profit,in_party,in_civil,in_anonymous,in_others,in_total,out_personnel,out_propagate,out_campaign_vehicle,out_campaign_office,out_rally,out_travel,out_miscellaneous,out_return,out_exchequer,out_public_relation,out_total,balance
林正二 ,平地原住民 ,親民黨 ,282000,1780500,0,6000,0,2,2068502,917000,741249,0,50000,546119,132588,468164,50000,0,0,2905120,-836618
陳雪生 ,連江縣 ,無黨籍 ,460000,0,0,0,0,0,460000,747000,616390,0,133150,0,24581,139940,0,0,0,1661061,-1201061
顏清標 ,台中市 ,無黨團結聯盟 ,10943560,17739000,0,961000,0,835,29644395,463000,6136569,0,1588261,270380,538697,4282215,2200000,0,0,15479122,14165273
高金素梅 ,山地原住民 ,無黨團結聯盟 ,573000,1580000,0,0,0,0,2153000,848700,1072469,26593,0,0,83847,121519,0,0,0,2153128,-128
黃偉哲 ,台南市 ,民主進步黨 ,6059800,4775000,489250,125000,0,1185,11450235,1339079,5646793,0,270706,259950,1092232,2571738,0,135000,335720,11651218,-200983
林岱樺 ,高雄市 ,民主進步黨 ,15207110,9924000,100000,676000,1100,3893,25912103,740800,21641079,123500,0,1846350,366000,2376639,635000,0,89116,27818484,-1906381
蘇震清 ,屏東縣 ,民主進步黨 ,16842500,6773000,0,292000,60000,1372,23968872,2571546,7743893,0,367315,6208337,1342863,2068961,780000,0,22405,21105320,2863552
高志鵬 ,新北市 ,民主進步黨 ,9128600,9935000,0,100000,52600,1541,19217741,4256275,10910616,9900,82080,2074450,3980,1168566,650000,642000,0,19797867,-580126
陳明文 ,嘉義縣 ,民主進步黨 ,10490488,8750000,0,310000,109117,1586,19661191,1033000,9022354,719874,1116014,3725506,411442,563836,1535000,0,0,18127026,1534165
林佳龍 ,台中市 ,民主進步黨 ,19558027,7025700,0,526000,287392,4429,27401548,7808334,13631621,215359,1540395,2662718,237424,1656949,765000,0,155105,28672905,-1271357
林淑芬 ,新北市 ,民主進步黨 ,4994460,3436050,0,300000,372213,558,9103281,998805,9235458,581298,228659,180050,14570,1256284,671600,0,0,13166724,-4063443
邱志偉 ,高雄市 ,民主進步黨 ,6505612,3320000,100000,216000,50500,97,10192209,1358413,6339413,128700,202242,2115436,261741,643608,0,0,62350,11111903,-919694
許智傑 ,高雄市 ,民主進步黨 ,6299380,4972116,100000,756000,55306,250,12183052,33000,8615883,0,1307957,833870,80500,248488,1150000,0,4500,12274198,-91146
何欣純 ,台中市 ,民主進步黨 ,9761400,2085000,0,181000,0,259,12027659,2846512,6928088,428650,136075,1720864,92540,209592,0,0,165300,12527621,-499962
許添財 ,台南市 ,民主進步黨 ,11746428,7318000,0,40000,62300,214,19166942,1372142,3416075,461496,2417751,377300,242173,2955016,315000,156000,214626,11927579,7239363
陳歐珀 ,宜蘭縣 ,民主進步黨 ,7116100,2273678,0,280000,0,230,9670008,2910610,4956787,200,83258,884679,290050,3021620,0,0,425265,12572469,-2902461
趙天麟 ,高雄市 ,民主進步黨 ,18003958,6102550,108218,236000,219599,1121,24671446,3238538,12342439,909495,1050776,3232745,236163,2170784,330000,0,389,23511329,1160117
